"Account Id","Id da Conta"
"Commission Percentual","Percentual de Comissão"
"Transferring Interest","Transferir Juros"
"Transferring Shipping","Transferir Frete"
"Add","Adcionar"
"Do not transfer the value","Não transferir o valor"
"Yes pass the value","Sim, transferir o valor"
"Configure in this session","Configurar nessa sessão"
"Configure from other modules","Configurar a partir de outros módulos"
"Split Payment","Dividir o Pagamento"
"Add a split to payment.","Adcione uma divisão ao pagamento."
"Use Split","Usar Split"
"Data source","Fonte de Dados"
"Defines where the data for the split will be obtained from.","Define de onde os dados para a divisão serão obtidos."
"<p>Using <b>'Configure in this session'</b>.</p><p>In this flow, all transactions will be divided into the accounts you register here in this session. This flow is not suitable for marketplaces, as it does not provide for different sellers for products. Usage example, commissioning the agency for sales.</p><p>Using <b>'Configure from other modules'</b>.</p><p>In this flow there is a need for additional modules, this flow it is ideal for marketplace stores, where each product can be from a different seller. Usage example, stores using Marketplace/Multivendor solutions.</p>","<p>Usando o <b>'Configurar nesta sessão'</b>.</p><p>Neste fluxo todas as transações serão divididas nas contas que você cadastrar aqui nesta sessão. Esse fluxo não é adequado para marketplaces, pois não prevê vendedores diferentes por os produtos. Exemplo de uso, comissionando a agência para vendas.</p><p>Usando <b>'Configurar de outros módulos'</b>.</p><p>Neste fluxo há a necessidade de módulos adicionais, esse fluxo é ideal para lojas que são marketplace, onde cada produto pode ser de um vendedor diferente. Exemplo de uso, lojas que usam soluções Marketplace/Multivendor.</p>"
"<p>In this process, all sales will be divided among the accounts registered here.</p><p>The Account Id must be obtained <a href='https://github.com/pagseguro/split-magento/wiki/04-%E2%80%90-Como-Obter-o-Account-Id'>here</a> by the user who will receive the amount.</p><p>During checkout, if you have more than one seller registered and if you choose to pass on this amount, each of them will receive the freight amount proportional to the number of sellers, the same for sending the interest.</p>","<p>Nesse processo toda venda será dividida entre as contas que aqui cadastradas.</p><p>O Account Id deve ser obtido <a href='https://github.com/pagseguro/split-magento/wiki/04-%E2%80%90-Como-Obter-o-Account-Id'>aqui</a> pelo usuário que receberá o valor.</p><p>Durante o checkout, caso tenha mais de um vendedor cadastrado e caso opte por repassar esse valor, cada um deles irá receber o valor de frete proporcional ao número de vendedores o mesmo para o envio do juros.</p>"
"<p>Ideal solution for those who use additional modules to create a Marketplace.</p><p>Discover the modules already supported <a href='https://github.com/pagseguro/split-magento/wiki/03---M%C3%B3dulos-de-Terceiro'>here</a>.</p>","<p>Solução ideal para quem usa módulos adicionais para criação de Marketplace.</p><p>Conheça os módulos já suportados <a href='https://github.com/pagseguro/split-magento/wiki/03---M%C3%B3dulos-de-Terceiro'>aqui</a>.</p>"
"Sub Seller Options","Opções para Sub Vendedores"
"Define entities and use commissioning rules.","Definir entidades e regras de comissionamento."
"<p>The sum of all commissions cannot exceed 100% of the purchase price.<p>¹ Defines the commission amount retained.</p><p>² Defines whether the seller's data will be communicated to the card issuing bank.</p><p>³ - Defines whether the seller is responsible for the Charge Back.</p><p>⁴ - Defines whether the seller will receive the interest.</p><p>⁵ Defines whether the seller will receive the shipping cost.</p>","<p>¹ Define o valor comissão retido.</p><p>² Define se os dados vendedor serão comunicados a banco emissor do cartão.</p><p>³ - Define se o vendedor é o responsavel pelo Charge Back.</p><p>⁴ - Define se o vendedor receberá o juros.</p><p>⁵ Define se o vendedor receberá o valor do frete.</p>"
